PSBBEAM/B#value,PSBBEAM/B#value
X,Y
289.1,2394.17
289.2,2394.977
289.3,2395.783
289.4,2396.59
289.5,2397.397
289.6,2398.204
289.7,2399.011
289.8,2399.818
289.9,2400.625
290.0,2401.433
290.1,2402.24
290.2,2403.048
290.3,2403.856
290.4,2404.664
290.5,2405.472
290.6,2406.28
290.7,2407.088
290.8,2407.897
290.9,2408.705
291.0,2409.514
291.1,2410.323
291.2,2411.132
291.3,2411.941
291.4,2412.75
291.5,2413.559
291.6,2414.369
291.7,2415.178
291.8,2415.988
291.9,2416.798
292.0,2417.608
292.1,2418.418
292.2,2419.228
292.3,2420.039
292.4,2420.849
292.5,2421.66
292.6,2422.471
292.7,2423.282
292.8,2424.093
292.9,2424.904
293.0,2425.715
293.1,2426.527
293.2,2427.338
293.3,2428.15
293.4,2428.962
293.5,2429.774
293.6,2430.586
293.7,2431.399
293.8,2432.211
293.9,2433.024
294.0,2433.836
294.1,2434.649
294.2,2435.462
294.3,2436.275
294.4,2437.089
294.5,2437.902
294.6,2438.716
294.7,2439.529
294.8,2440.343
294.9,2441.157
295.0,2441.971
295.1,2442.785
295.2,2443.6
295.3,2444.414
295.4,2445.229
295.5,2446.044
295.6,2446.859
295.7,2447.674
295.8,2448.489
295.9,2449.305
296.0,2450.12
296.1,2450.936
296.2,2451.752
296.3,2452.568
296.4,2453.384
296.5,2454.2
296.6,2455.017
296.7,2455.833
296.8,2456.65
296.9,2457.467
297.0,2458.284
297.1,2459.101
297.2,2459.918
297.3,2460.736
297.4,2461.554
297.5,2462.371
297.6,2463.189
297.7,2464.007
297.8,2464.825
297.9,2465.644
298.0,2466.462
298.1,2467.281
298.2,2468.1
298.3,2468.919
298.4,2469.738
298.5,2470.557
298.6,2471.377
298.7,2472.196
298.8,2473.016
298.9,2473.836
299.0,2474.656
299.1,2475.476
299.2,2476.296
299.3,2477.117
299.4,2477.938
299.5,2478.758
299.6,2479.579
299.7,2480.401
299.8,2481.222
299.9,2482.043
300.0,2482.865
300.1,2483.687
300.2,2484.509
300.3,2485.331
300.4,2486.153
300.5,2486.975
300.6,2487.798
300.7,2488.62
300.8,2489.443
300.9,2490.266
301.0,2491.09
301.1,2491.913
301.2,2492.736
301.3,2493.56
301.4,2494.384
301.5,2495.208
301.6,2496.032
301.7,2496.856
301.8,2497.681
301.9,2498.506
302.0,2499.33
302.1,2500.155
302.2,2500.98
302.3,2501.806
302.4,2502.631
302.5,2503.457
302.6,2504.283
302.7,2505.109
302.8,2505.935
302.9,2506.761
303.0,2507.587
303.1,2508.414
303.2,2509.241
303.3,2510.068
303.4,2510.895
303.5,2511.722
303.6,2512.55
303.7,2513.377
303.8,2514.205
303.9,2515.033
304.0,2515.861
304.1,2516.689
304.2,2517.518
304.3,2518.347
304.4,2519.175
304.5,2520.004
304.6,2520.834
304.7,2521.663
304.8,2522.492
304.9,2523.322
305.0,2524.152
305.1,2524.982
305.2,2525.812
305.3,2526.642
305.4,2527.473
305.5,2528.304
305.6,2529.135
305.7,2529.966
305.8,2530.797
305.9,2531.628
306.0,2532.46
306.1,2533.292
306.2,2534.124
306.3,2534.956
306.4,2535.788
306.5,2536.62
306.6,2537.453
306.7,2538.286
306.8,2539.119
306.9,2539.952
307.0,2540.785
307.1,2541.619
307.2,2542.453
307.3,2543.287
307.4,2544.121
307.5,2544.955
307.6,2545.789
307.7,2546.624
307.8,2547.459
307.9,2548.294
308.0,2549.129
308.1,2549.964
308.2,2550.8
308.3,2551.635
308.4,2552.471
308.5,2553.307
308.6,2554.144
308.7,2554.98
308.8,2555.817
308.9,2556.653
309.0,2557.49
309.1,2558.328
309.2,2559.165
309.3,2560.003
309.4,2560.84
309.5,2561.678
309.6,2562.516
309.7,2563.355
309.8,2564.193
309.9,2565.032
310.0,2565.871
310.1,2566.71
310.2,2567.549
310.3,2568.388
310.4,2569.228
310.5,2570.068
310.6,2570.908
310.7,2571.748
310.8,2572.588
310.9,2573.429
311.0,2574.27
311.1,2575.11
311.2,2575.952
311.3,2576.793
311.4,2577.634
311.5,2578.476
311.6,2579.318
311.7,2580.16
311.8,2581.002
311.9,2581.845
312.0,2582.688
312.1,2583.53
312.2,2584.373
312.3,2585.217
312.4,2586.06
312.5,2586.904
312.6,2587.748
312.7,2588.592
312.8,2589.436
312.9,2590.28
313.0,2591.125
313.1,2591.97
313.2,2592.815
313.3,2593.66
313.4,2594.505
313.5,2595.351
313.6,2596.197
313.7,2597.043
313.8,2597.889
313.9,2598.736
314.0,2599.582
314.1,2600.429
314.2,2601.276
314.3,2602.123
314.4,2602.971
314.5,2603.818
314.6,2604.666
314.7,2605.514
314.8,2606.362
314.9,2607.211
315.0,2608.059
315.1,2608.908
315.2,2609.757
315.3,2610.606
315.4,2611.456
315.5,2612.306
315.6,2613.155
315.7,2614.006
315.8,2614.856
315.9,2615.706
316.0,2616.557
316.1,2617.408
316.2,2618.259
316.3,2619.11
316.4,2619.962
316.5,2620.813
316.6,2621.665
316.7,2622.517
316.8,2623.37
316.9,2624.222
317.0,2625.075
317.1,2625.928
317.2,2626.781
317.3,2627.635
317.4,2628.488
317.5,2629.342
317.6,2630.196
317.7,2631.05
317.8,2631.905
317.9,2632.759
318.0,2633.614
318.1,2634.469
318.2,2635.325
318.3,2636.18
318.4,2637.036
318.5,2637.892
318.6,2638.748
318.7,2639.604
318.8,2640.461
318.9,2641.318
319.0,2642.175
319.1,2643.032
319.2,2643.889
319.3,2644.747
319.4,2645.605
319.5,2646.463
319.6,2647.321
319.7,2648.18
319.8,2649.038
319.9,2649.897
320.0,2650.757
320.1,2651.616
320.2,2652.476
320.3,2653.335
320.4,2654.195
320.5,2655.056
320.6,2655.916
320.7,2656.777
320.8,2657.638
320.9,2658.499
321.0,2659.36
321.1,2660.222
321.2,2661.084
321.3,2661.946
321.4,2662.808
321.5,2663.671
321.6,2664.533
321.7,2665.396
321.8,2666.259
321.9,2667.123
322.0,2667.986
322.1,2668.85
322.2,2669.714
322.3,2670.579
322.4,2671.443
322.5,2672.308
322.6,2673.173
322.7,2674.038
322.8,2674.903
322.9,2675.769
323.0,2676.635
323.1,2677.501
323.2,2678.367
323.3,2679.234
323.4,2680.101
323.5,2680.968
323.6,2681.835
323.7,2682.702
323.8,2683.57
323.9,2684.438
324.0,2685.306
324.1,2686.175
324.2,2687.043
324.3,2687.912
324.4,2688.781
324.5,2689.65
324.6,2690.52
324.7,2691.39
324.8,2692.26
324.9,2693.13
325.0,2694.001
325.1,2694.871
325.2,2695.742
325.3,2696.613
325.4,2697.485
325.5,2698.357
325.6,2699.228
325.7,2700.101
325.8,2700.973
325.9,2701.846
326.0,2702.718
326.1,2703.591
326.2,2704.465
326.3,2705.338
326.4,2706.212
326.5,2707.086
326.6,2707.96
326.7,2708.835
326.8,2709.71
326.9,2710.585
327.0,2711.46
327.1,2712.335
327.2,2713.211
327.3,2714.087
327.4,2714.963
327.5,2715.84
327.6,2716.716
327.7,2717.593
327.8,2718.47
327.9,2719.348
328.0,2720.225
328.1,2721.103
328.2,2721.981
328.3,2722.86
328.4,2723.738
328.5,2724.617
328.6,2725.496
328.7,2726.376
328.8,2727.255
328.9,2728.135
329.0,2729.015
329.1,2729.896
329.2,2730.776
329.3,2731.657
329.4,2732.538
329.5,2733.419
329.6,2734.301
329.7,2735.183
329.8,2736.065
329.9,2736.947
330.0,2737.83
330.1,2738.712
330.2,2739.596
330.3,2740.479
330.4,2741.362
330.5,2742.246
330.6,2743.13
330.7,2744.015
330.8,2744.899
330.9,2745.784
331.0,2746.669
331.1,2747.554
331.2,2748.44
331.3,2749.326
331.4,2750.212
331.5,2751.098
331.6,2751.985
331.7,2752.872
331.8,2753.759
331.9,2754.646
332.0,2755.534
332.1,2756.422
332.2,2757.31
332.3,2758.198
332.4,2759.087
332.5,2759.976
332.6,2760.865
332.7,2761.754
332.8,2762.644
332.9,2763.534
333.0,2764.424
333.1,2765.314
333.2,2766.205
333.3,2767.096
333.4,2767.987
333.5,2768.879
333.6,2769.77
333.7,2770.662
333.8,2771.555
333.9,2772.447
334.0,2773.34
334.1,2774.233
334.2,2775.126
334.3,2776.02
334.4,2776.914
334.5,2777.808
334.6,2778.702
334.7,2779.597
334.8,2780.492
334.9,2781.387
335.0,2782.282
335.1,2783.178
335.2,2784.074
335.3,2784.97
335.4,2785.867
335.5,2786.763
335.6,2787.66
335.7,2788.558
335.8,2789.455
335.9,2790.353
336.0,2791.251
336.1,2792.149
336.2,2793.048
336.3,2793.947
336.4,2794.846
336.5,2795.745
336.6,2796.645
336.7,2797.545
336.8,2798.445
336.9,2799.346
337.0,2800.246
337.1,2801.147
337.2,2802.049
337.3,2802.95
337.4,2803.852
337.5,2804.754
337.6,2805.657
337.7,2806.559
337.8,2807.462
337.9,2808.366
338.0,2809.269
338.1,2810.173
338.2,2811.077
338.3,2811.981
338.4,2812.886
338.5,2813.791
338.6,2814.696
338.7,2815.601
338.8,2816.507
338.9,2817.413
339.0,2818.319
339.1,2819.225
339.2,2820.132
339.3,2821.039
339.4,2821.947
339.5,2822.854
